X	Y	Z	Layer
-84.967696	-5.589308	449.011370	2
-85.481689	-5.625766	448.986453	2
-85.993825	-5.686120	448.946679	2
-86.507820	-5.734673	448.918431	2
-87.024071	-5.760619	448.912215	2
-87.541005	-5.777359	448.914963	2
-88.058086	-5.787066	448.918395	2
-88.575264	-5.791391	448.922350	2
-89.092406	-5.792928	448.930101	2
-89.609139	-5.787760	448.949901	2
-90.125640	-5.779282	448.975650	2
-90.642481	-5.778166	448.993191	2
-91.159560	-5.784798	449.002091	2
-91.676681	-5.792228	449.008311	2
-92.193825	-5.789887	449.010783	2
-92.710976	-5.781889	449.011084	2
-93.228120	-5.777820	449.006047	2
-93.745145	-5.779635	448.993015	2
-94.262095	-5.783615	448.977042	2
-94.779034	-5.783518	448.980971	2
-95.295935	-5.780602	448.998660	2
-95.812950	-5.780199	449.012256	2
-96.330074	-5.785843	449.015111	2
-96.847212	-5.794337	449.012904	2
-97.364392	-5.798906	449.011483	2
-97.881602	-5.799890	449.010779	2
-98.398617	-5.809067	449.004252	2
-98.911911	-5.855075	448.972943	2
-99.422783	-5.921893	448.927631	2
-99.937046	-5.964032	448.911572	2
-100.453473	-5.976010	448.931139	2
-100.969897	-5.979044	448.959492	2
-101.486788	-5.982621	448.967087	2
-102.003953	-5.986547	448.961309	2
-102.521136	-5.988345	448.956469	2
-103.038331	-5.986599	448.953194	2
-103.555527	-5.983410	448.950556	2
-104.072726	-5.981030	448.951124	2
-104.589926	-5.979284	448.954208	2
-105.107124	-5.980774	448.955638	2
-105.624202	-5.990507	448.952341	2
-106.141192	-6.004530	448.946583	2
-106.658144	-6.005984	448.953085	2
-107.174854	-5.994488	448.972217	2
-107.691612	-5.982514	448.989791	2
-108.208501	-5.982095	448.985923	2
-108.725374	-5.988977	448.968509	2
-109.242440	-5.991346	448.960767	2
-109.759573	-5.987460	448.966434	2
-110.276671	-5.982592	448.976067	2
-110.791440	-6.014959	448.964434	2
-111.304422	-6.075004	448.936991	2
-111.818936	-6.122641	448.918959	2
-112.335340	-6.147775	448.917963	2
-112.852289	-6.162930	448.924513	2
-113.369302	-6.174358	448.922354	2
-113.886360	-6.182626	448.912815	2
-114.403489	-6.188375	448.906866	2
-114.920629	-6.188118	448.911350	2
-115.437727	-6.184546	448.921591	2
-115.954882	-6.182359	448.924292	2
-116.472060	-6.181681	448.918774	2
-116.989226	-6.180915	448.911921	2
-117.506404	-6.178177	448.907018	2
-118.023588	-6.174095	448.903444	2
-118.540756	-6.173712	448.897917	2
-119.057872	-6.178658	448.889580	2
-119.574964	-6.185314	448.880638	2
-120.092090	-6.187761	448.881098	2
-120.609237	-6.186769	448.889242	2
-121.126344	-6.180672	448.896192	2
-121.643244	-6.164249	448.900724	2
-122.159996	-6.142699	448.904054	2
-122.672482	-6.083921	448.915446	2
-123.180320	-5.987952	448.934894	2
-123.688396	-5.892493	448.949101	2
-124.198959	-5.811620	448.944101	2
-124.710905	-5.740033	448.926917	2
-125.057700	-5.958356	448.916253	2
